Lemma,Gloss,Turkish lemmas (or gap),Target Gloss
"ninety, 90, xc",being ten more than eighty,"doksan, 90, xc",Seksen dokuzdan sonra gelen sayının adı.
"silence, quiet",the absence of sound,"sessizlik, suskunluk, sükunet, sükut",Ortalıkta gürültü olmama durumu.
"dart, dash, scoot, scud, flash, shoot",run or move very quickly or hastily,"fırlamak, tabanları yağlamak, apar topar gitmek/ayrılmak","Hızla, birdenbire bulunduğu yerden çıkmak, ayrılmak"
"hundred, one hundred, 100, c",being ten more than ninety,"yüz, 100, c",Doksan dokuzdan sonra gelen sayının adı.
tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,ağaç,"Meyve verebilen, gövdesi odun veya kereste olmaya elverişli bulunan ve uzun yıllar yaşayabilen bitki."
bed,a piece of furniture that provides a place to sleep,yatak," Uyuma, dinlenme vb. amaçlarla üzerine veya içine yatılan eşya; döşek."
"pasture, pastureland, grazing land, lea, ley",a field covered with grass or herbage and suitable for grazing by livestock,"haymana, otlak, mera",Hayvanların serbestçe salındığı çayırlık.
"ill, sick",affected by an impairment of normal physical or mental function,"hasta, rahatsız","Hastalık, kaza veya yaralanma dolayısıyla fizik veya ruh sağlığı bozulmuş ve tedavi edilmesi gereken (kimse, hayvan, organ); sayrı, sökel, alil, pestil."
liver,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes,karaciğer,"Karın boşluğunun sağ üst bölgesinde bulunan, öd salgılayan, şeker depolayan, iri, açık kahverengi organ."
evil,morally bad or wrong,kötü,Kişi veya toplum üzerinde olumsuz etkileri olan.
"chop, chop up",cut into pieces,"kesmek, doğramak, kırmak (balta vb.)",Keserek parçalamak veya elle küçük parçalara ayırmak.
"newspaper, paper",a daily or weekly publication on folded sheets; contains news and articles and advertisements,gazete,"Politika, ekonomi, kültür ve daha başka konularda haber ve bilgi vermek için yorumlu veya yorumsuz, her gün veya belirli zaman aralıklarıyla çıkarılan yayın; ceride."
"peak, crown, crest, top, tip, summit",the top point of a mountain or hill,"zirve, tepe, uç, doruk, tepe nokta"," Dağ, ağaç vb. yüksek şeylerin tepesi, en yüksek yeri"
"ripe, mature",fully developed or matured and ready to be eaten or used,"olgun, ergin","Gelişmiş, kıvamını bulmuş."
"construct, build, make",make by combining materials and parts,"inşa etmek, yapmak, kurmak",oluşturmak
slab,block consisting of a thick piece of something,GAP,
"father, male parent, begetter",a male parent (also used as a term of address to your father),"baba, peder",Çocuğu olan erkek.
"heart, pump, ticker",the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body,"kalp,  yürek","Göğüs orta boşluğunda, iki akciğer arasında, vücudun her yanından gelen kirli kanı akciğerlere ve oradan gelen temiz kanı da vücuda dağıtan organ."
"thousand, one thousand, 1000, m, k","denoting a quantity consisting of 1,000 items or units","bin, 1000, M, K",Dokuz yüz doksan dokuzdan sonra gelen sayının adı.
"run, flow, feed, course","move along, of liquids",akmak,Sıvı maddelerin veya çok ince taneli katı maddelerin bir yerden başka bir yere doğru gitmesi.
"visit, call in, call",pay a brief visit,"uğramak, ziyaret etmek","Yola devam etmek üzere, bir yerde kısa bir süre kalmak."
"sled, sledge, sleigh",a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow,kızak,Kar veya buz üzerinde kayarak yol alan tekerleksiz taşıt.
"position, place",the particular portion of space occupied by something,"yer, konum, pozisyon","Bir şeyin, bir kimsenin kapladığı veya kaplayabileceği boşluk."
"here, hither",to this place (especially toward the speaker),"bura, burada, buraya","İşaret edilen, kastedilen yakın bir yer veya çevresi."
here,in or at this place; where the speaker or writer is,"burası, buradaki, burda",İçinde bulunulan.
"second, 2nd, 2d",coming next after the first in position in space or time or degree or magnitude,"ikinci, 2. ",İki sayısının sıra sıfatı
"there, at that place, in that location",in or at that place,"ora, orası, orada, o yerde, o konumda",Anlatana veya söyleyene uzakta olan yer.
"sleeve, arm",the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,kol,İnsan vücudunda omuz başından parmak uçlarına kadar uzanan bölümü kapatan kıyafet parçası.
wet,covered or soaked with a liquid such as water,"ıslak, yaş","Suya batırılmış, üzerine su dökülmüş veya yağmurdan ıslanmış olan."
"third, 3rd, tertiary",coming next after the second and just before the fourth in position,"üçüncü, 3.","Üç sayısının sıra sıfatı, sırada ikinciden sonra gelen."
"there, thither",to or toward that place; away from the speaker,"orada, oraya","İşaret edilen, kastedilen uzak bir yer veya çevresi."
appear,come into sight or view,"belirmek, ortaya çıkmak, görünmek",Önce belli veya görünür olmayan bir şey ortaya çıkmak; tezahür etmek.
"colorful, colourful",having striking color,renkli,Beyaz dışında başka rengi veya renkleri olan; mülevven
pour,cause to run,"dökmek, boşaltmak, dökülmek, boşalmak","Dışarıya akmak, akıtılmak."
"female child, girl, little girl",a youthful female person,"kız çocuk, kız, küçük kız",genç kadın
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,pencere,"Yapıları veya tren, vapur vb. ulaşım araçlarını aydınlatmak, havalandırmak amacıyla yapılan, çerçeve, cam, panjur, perde gibi eklentilerle daha kullanışlı bir duruma getirilen açıklık:"
"stream, well out",flow freely and abundantly,fışkırmak,Gaz veya sıvılar bir yerden basınç etkisiyle yukarıya doğru birdenbire ve hızla çıkmak.
"damp, dampish, moist",slightly wet,"nemli, rutubetli, nemli",Hafif ıslaklık
praise,express approval of,övmek,"Birinin veya bir şeyin iyiliklerini, üstünlüklerini söyleyerek değerini yüceltmek, sena etmek; methetmek, yermek karşıtı."
root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground,kök,"Bitkileri toprağa bağlayan, topraktaki besi maddelerini emmesine yarayan klorofilsiz bölüm."
"breathe, take a breath, respire, suspire","draw air into, and expel out of, the lungs","nefes almak, soluk almak, hava çekmek, hava almak",Akciğerlerden içeriye havanın girmesi.
line,a length (straight or curved) without breadth or thickness; the trace of a moving point,"çizgi, cızık, çizi, çizik, hat, iz",Çizilerek veya çeşitli yollarla oluşmuş iz; tahrir.
belt,a band to tie or buckle around the body (usually at the waist),kemer,"Bele dolayarak toka ile tutturulan, kumaş, deri veya metalden yapılan bel bağı."
"stomach, tummy, tum, breadbasket",an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,"karın, mide","Omurgalılarda, sindirim sisteminin, yemek borusu ile onikiparmak bağırsağı arasında besinlerin sindirime hazır duruma getirildiği; omurgasız hayvanlarda ise sindirim kanalının bu bölgeye karşılık olan parçası."
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,kuru,"Suyu, nemi olmayan, yaş ve nemli karşıtı."
hook,a curved or bent implement for suspending or pulling something,kanca,"Bir şey çekmeye yarar, ucu çengelli demir çubuk"
bake,prepare with dry heat in an oven,"fırınlamak, pişirmek", Fırında pişirmek.
"gold, au, atomic number 79",a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia,"altın, au, atom numarası 79","Atom sayısı 79, atom ağırlığı 196,9 olan, 1064 °C'de eriyen, kolay işlenen, yüksek değerli, paslanmaz element; zer (simgesi Au)."
"disappear, vanish, go away","get lost, as without warning or explanation","ortadan kaybolmak, yok olmak, gözden kaybolmak, sırra kadem basmak, ortadan sır olmak","saklanmak, bulunmaz olmak."
"cook, fix, ready, make, prepare",prepare for eating by applying heat,"pişirmek, hazırlamak, yapmak",ir besin maddesini gerektiği kadar ısıda tutarak yenebilecek veya içilebilecek bir duruma getirmek.
"scat, run, scarper, turn tail, lam, run away, hightail it, bunk, head for the hills, take to the woods, escape, fly the coop, break away",flee; take to one's heels; cut and run,"yaylanmak, kuyruğunu kıstırıp kaçmak, kaçıp kurtulmak, tüymek, tabanları yağlamak, sıvışmak, firar etmek, kirişi kırmak",hızla koşup yok olmak.
cough,"exhale abruptly, as when one has a chest cold or congestion",öksürmek,Solunum yolları zarlarının rahatsızlığı sebebiyle akciğerlerdeki havayı birdenbire ve gürültülü bir sesle dışarı vermek.
"flee, fly, take flight",run away quickly,"uçup gitmek ,fırlamak","Çok hızlı gitmek, ortamı hızlıca terk etmek."
wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,kurt,"öpekgillerden, Avrupa, Asya ve Kuzey Amerika'da yaşayan, postu gri sarı renkli, yırtıcı, etçil memeli hayvan; börü (Canis lupus)."
"design, pattern, figure",a decorative or artistic work,"tasarım, desen, figür, şekil","Bir sanat eserinin, yapının veya teknik ürünün ilk taslağı; tasar çizim, dizayn."
blow,exhale hard,üflemek,Dudakları büzerek soluğu bir şey üzerine hızla vermek; üfürmek.
dark,(used of color) having a dark hue,koyu,"Rengi açık olmayan, daha belirgin olan, açık karşıtı."
"wife, married woman",a married woman; a man's partner in marriage,"eş, karı, hanım",Bir erkeğin evlenmiş olduğu kadın.
"bring, convey, take",take something or somebody with oneself somewhere,"getirmek, iletmek, götürmek","Taşımak, ulaştırmak veya koymak."
blood,the fluid (red in vertebrates) that is pumped by the heart,kan,"Atardamar ve toplardamarların içinde dolaşarak hücrelerde özümleme, yadımlama görevlerini sağlayan plazma ve yuvarlardan oluşmuş kırmızı renkli sıvı."
"wash, rinse",clean with some chemical process,"yıkamak, durulamak",Su veya başka bir sıvı kullanarak bir şeyi temizlemek.
"iron, fe, atomic number 26",a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood,"demir, fe, atom numarası 26","Atom numarası 26, atom ağırlığı 55,847, yoğunluğu 7,8 olan, 1510 °C'de eriyen, mavimtırak esmer renkte, özellikle çelik, döküm ve alaşımlar durumunda sanayide kullanılmaya en elverişli element (simgesi Fe)."
"blade, leaf blade",especially a leaf of grass or the broad portion of a leaf as distinct from the petiole,"aya, yaprak ayası","Yaprağın, yassılaşmış, az veya çok geniş yüzeyli yeşil bölümü."
"part, portion",something less than the whole of a human artifact,"bölüm,  parça, kısım",Bir bütünü oluşturan parçaların her biri.
"act, behave, do",behave in a certain manner; show a certain behavior; conduct or comport oneself,"davranmak, (bir) tavır sergilemek",Bir kimseye veya bir şeye karşı belli tavır takınmak.
together,in contact with each other,"birlikte, beraberce, hep beraber","Toplu bir durumda, birlikte, toplu olarak."
"language, linguistic communication",a systematic means of communicating by the use of sounds or conventional symbols,"dil, iletişim","İnsanlar arasında anlaşmayı sağlayan, uzlaşmaya dayalı olarak oluşturulmuş sesli veya görsel işaretler sistemi."
"topic, subject, issue, matter",some situation or event that is thought about,"konu, başlık, mevzu, mesele, sorun, husus, süje","Konuşmada, yazıda, eserde ele alınan düşünce, olay veya durum"
fox,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs,tilki,"Köpekgillerden, uzunluğu 90, kuyruğu 30 santimetre kadar, ırklarına göre çeşitli renklerde olan, ağız ve burnu uzun ve sivri, kümes hayvanlarına zarar veren, kürkü beğenilen bir tür memeli (Vulpes)."
then,at that time,"o zamanki, o zaman, o zamanlar",Geçmişte yaşanmış bir zaman dilimine işaret etmek.
"then, so, and so, and then",subsequently or soon afterward (often used as sentence connectors),"sonra,  ve sonra, ardından","Çok geçmeden, yakın zamanda."
circle,something approximating the shape of a circle,"çember, daire",Merkez denilen sabit bir noktadan aynı uzaklık ve düzlemdeki noktalar kümesinin oluşturduğu kapalı eğri; Bir çemberin içinde kalan düzlem parçası.
"once, one time, in one case",on one occasion,"bir kere, bir kez, bir sefer, tek sefer, bir keresinde","Bir kez olmak üzere, bir defa olarak."
"tear, teardrop",a drop of the clear salty saline solution secreted by the lacrimal glands,"gözyaşı, göyazşı damlası, yaş","Gözyaşı bezlerinin salgıladığı, bazı etkilerle akan duru sıvı damlacıklarından her biri."
knit,make (textiles) by knitting,örmek,"İplik, yün, tel, saz vb.ni birbirine dolayarak veya geçirerek işlemek veya tezgâhta dokumak."
hard,resisting weight or pressure,"çetin, sert",Aşılması zor olan.
"once, formerly, at one time, erstwhile, erst",at a previous time,"bir zamanlar, eskiden, önceden, başlangıçta","geçmişte, zamanında"
rest,be at rest,dinlenmek ,"Güç kazanmak için çalışmaya ara vermek, yorgunluğunu giderme."
drive,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","yönlendirmek, sürüklemek, zorlamak, gütmek, itmek","Üstelemek, ısrar etmek, bir düşünceyi veya bir ilkeyi gerçekleştirmeye çalışmak."
word,a unit of language that native speakers can identify,"kelime, sözcük","Bir veya birkaç heceden oluşan, anlamlı ses birliği. "
"sleep, kip, slumber, log z's, catch some z's",be asleep,"uyumak, kestirmek, pineklemek, şekerleme yapmak, uykuya dalmak, dalmak",Uyku durumunda olmak 
"wide, broad",having great (or a certain) extent from one side to the other,"geniş, enli",Eni çok olan
truth,a fact that has been verified,"gerçek, doğru, hakikat",Yalan olmayan.
"cat, true cat",feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats,kedi,"Kedigillerden, memeli, köpek dişleri iyi gelişmiş, çevik ve kuvvetli, evcil, küçük hayvan; pisik (Felis domesticus)"
"firm, solid",not soft or yielding to pressure,"sert, sağlam","Bozulmadan, değişmeden uzun süre varlığını koruyabilen, dayanıklı olan."
"gentle, soft",soft and mild; not harsh or stern or severe,"nazik, kibar, yumuşak",Ilıman olan
narrow,not wide,"dar, sıkı, ensiz",Genişliği az veya yetersiz olan.
"birch, birch tree",any betulaceous tree or shrub of the genus Betula having a thin peeling bark,"huş, huş ağacı","Huş, huşgiller familyasının Betula cinsinden ağaç veya ağaççıklara verilen ad. "
"woman, adult female",an adult female person (as opposed to a man),"kadın, yetişkin kadın",Erişkin dişi insan.
path,a way especially designed for a particular use,yol,Genellikle yerleşim alanlarını birbirine bağlamak için düzeltilerek açılmış ulaşım şeridi.
clean,free from dirt or impurities; or having clean habits,temiz,"Kirli, lekeli, pis, bulaşık olmayan."
soft,yielding readily to pressure or weight,"yumuşak, zayıf","Sağlamlığı, dayanıklılığı olmayan."
"fall asleep, dope off, flake out, drift off, nod off, drop off, doze off, drowse off",change from a waking to a sleeping state,"uykuya dalmak, uyuşukluk, uyuya kalmak, içi geçmek,  gevşemek, dalmak, kestirmek, uyuklamak",uyuyuvermek
"foe, enemy",a personal enemy,"düşman, hasım","Birinin kötülüğünü isteyen, ondan nefret eden, ona zarar vermeye çalışan kimse."
swing,"move in a curve or arc, usually with the intent of hitting",sallamak,Düzenli bir biçimde ve hep aynı doğrultuda hareket etmek.
"decorate, adorn, grace, ornament, embellish, beautify","make more attractive by adding ornament, colour, etc.","süslemek, donatmak, güzelleştirmek, bezemek, renk katmak, renklendirmek","Birtakım katkılarla bir şeyin daha güzel, daha göz alıcı olmasını, daha hoş görünmesini sağlamak."
"awaken, wake, waken, rouse, wake up, arouse",cause to become awake or conscious,"uyandırmak, ayılmak, aymak, kalkmak",ayık olmak
"wake up, awake, arouse, awaken, wake, come alive, waken",stop sleeping,"uyanmak, gözlerini açmak, uykudan kalkmak",Uyku durumundan çıkmak.
"silver, ag, atomic number 47",a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography,"gümüş, ag, atom numarası 47","Atom numarası 47, atom ağırlığı 107,88, yoğunluğu 10,5 olan, 960 °C'ye doğru sıvı durumuna geçen, parlak beyaz renkte, kolay işlenir ve tel durumuna gelebilen element; sim (I), arjante (simgesi Ag)."
house,a dwelling that serves as living quarters for one or more families,ev,Bir kimsenin veya ailenin içinde yaşadığı yer.
"dirty, soiled, unclean",soiled or likely to soil with dirt or grime,"kirli, pis","Leke, toz vb. ile kaplı."
"flex, bend, deform, twist, turn",cause   (a plastic object) to assume a crooked or angular form,"esnetmek, bükmek, eğmek, bozmak, çevirmek",Biçimini ve kullanılışını değiştirmek.
turn,cause to move around or rotate,döndürmek,Dönmesini sağlamak.
sand,a loose material consisting of grains of rock or coral,kum,"Silisli kütlelerin, kayaların, doğal etkenlerle parçalanarak ufalanmasından oluşan, deniz kıyısı, dere yatağı vb. yerlerde çok bulunan, ufak, sert tanecikler."
"foreman, chief, gaffer, honcho, boss",a person who exercises control over workers,"ustabaşı, şef, müdür, amiri, patron, üst",Birine göre yüksek aşamada olan kimse.
"chill, iciness, gelidity",coldness due to a cold environment,"serinlik, soğukluk, donma","Soğuk olma durumu, soğuk bir etki yapan şeyin özelliği."
"vein, vena, venous blood vessel",a blood vessel that carries blood from the capillaries toward the heart,"damar, toplardamar",Canlı varlıklarda kanın veya besleyici sıvıların dolaştığı kana.
"boast, tout, swash, shoot a line, brag, gas, blow, bluster, vaunt, gasconade",show off,"övünmek, böbürlenmek, üstünlük taslamak, gururlanmak, kabarmak, kıvançlanmak, şov yapmak, caka satmak",gösteriş
monkey,any of various long-tailed primates (excluding the prosimians),"maymun, primat","Dört ayaklı, iki ayağı üzerinde de yürüyebilen, ormanda toplu olarak yaşayan, kuyruklu hayvan."
"tie, bind","fasten or secure with a rope, string, or cord",bağlamak,"İp, bağ veya başka bir araçla bir şeyi bir yere veya birkaç şeyi birbirine tutturmak, birleştirmek."
"thrust, stuff, shove, squeeze",press or force,"itmek, tıkıştırmak,  sıkmak",yüklenmek
"promise, assure",make a promise or commitment,"söz vermek, vaatte bulunmak",bir işi yapacağını kesinlikle bildirmek
"tie down, tie up, bind, truss",secure with or as if with ropes,"bağlamak, dizginlemek, hapsetmek, rehin almak, gözaltına almak","Birinin, bir şeyin davranışlarını önlemek."
bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,ayı,"Memelilerin etobur takımından, beş parmaklı, tabanlarına basarak yürüyen, yurdumuzda boz türü bulunan, iri gövdeli hayvan; kocaoğlan (Ursus arctos)."
"luminosity, brightness, brightness level, luminance, luminousness, light",the quality of being luminous; emitting or reflecting light,"parlaklık, parlaklık seviyesi, ışık, ışık şiddeti","Cisimleri görmeyi, renkleri ayırt etmeyi sağlayan fiziksel enerji."
spider,predatory arachnid that usually has silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey,örümcek,"Örümcekler takımından, ince bir ağ örerek küçük böcekleri avlayan eklemli bir hayvan; örümce (Araneae)."
"fill, fill up, make full","make full, also in a metaphorical sense",doldurmak,"Dolmasını sağlamak, dolu duruma getirmek. "
"grief, sorrow",something that causes great unhappiness,"keder, üzüntü, ıstırap",Maddi ve manevi olarak duyulan aşırı üzüntü.
"idea, thought",the content of cognition; the main thing you are thinking about,"fikir, düşünce","Uzay ve zamanın ötesinde, öznenin dışında, kendiliğinden var olan, duyularla değil, yalnızca ruhen algılanabilen asıl gerçeklik."
"state, province",the territory occupied by one of the constituent administrative districts of a nation,"il, vilayet, eyalet",Çoğunlukla valilerce yönetilen ve yönetim bakımından bir tür bağımsızlığı olan yönetim bölgesi.
"blanket, cover",bedding that keeps a person warm in bed,"battaniye, örtü","Yorgan yerine veya yorgan üstünde kullanılan, çoğu yünden dokunmuş kalınca örtü."
"laugh, express joy, express mirth",produce laughter,gülmek,"İnsan, hoşuna veya tuhafına giden olaylar, durumlar karşısında, genellikle sesli bir biçimde duygusunu açığa vurmak."
"willow, willow tree",any of numerous deciduous trees and shrubs of the genus Salix,"söğüt, söğüt ağacı","Söğütgillerden, sulak yerlerde yetişen, yaprakları almaşık ve alt yüzleri havla örtülü büyük bir ağaç (Salix)."
"succeed, win, come through, bring home the bacon, deliver the goods",attain success or reach a desired goal,"başarmak, kazanmak, üstesinden gelmek, elde etmek, üzerine düşeni yapmak",Bir işi istenilen bir biçimde bitirmek.
"adept, expert, good, practiced, proficient, skillful, skilful",having or showing knowledge and skill and aptitude,"usta, uzman, iyi, deneyimli, yetenekli, becerikli","Belli bir işte, belli bir konuda bilgi, görüş ve becerisi çok olan (kimse)."
corner,the point where three areas or surfaces meet or intersect,köşe,"Birbirini kesen iki çizginin, iki düzlemin oluşturduğu açı."
blunt,used of a knife or other blade; not sharp,"kör, körelmiş",Keskinliği yeterli olmayan.
"kind, sort, form, variety",a category of things distinguished by some common characteristic or quality,"tür, cins, çeşit, çeşitlilik",Aynı çeşit varlıklar veya nesneler içinde ortak özellikleri bulunanların her biri.
sharp,having or made by a thin edge or sharp point; suitable for cutting or piercing,keskin,"Çok kesici, iyi kesen."
"botch, bodge, bumble, fumble, botch up, muff, blow, flub, screw up, ball up, spoil, muck up, bungle, fluff, bollix, bollix up, bollocks, bollocks up, bobble, mishandle, louse up, foul up, mess up, fuck up","make a mess of, destroy or ruin","berbat etmek, içine etmek, batırmak, baştan savma yapmak, rezil etmek, eline yüzüne bulaştırmak, gelişigüzel yapmak, becerememek, yüzüne gözüne bulaştırmak, mahvetmek, çuvallamak, sıçıp batırmak, berbat etmek, bok etmek, çorba etmek, bozmak, kötü yönetmek, acemice davranmak, allak bullak etmek, karıştırmak, ırgat pazarına döndürmek, talan etmek, altüst etmek, ahıra çevirmek, darmadağın etmek, işleri Arap saçına çevirmek, boka sarmak, içine sıçmak","bozup berbat etmek, başaramamak"
bathe,cleanse the entire body,"banyo yapmak, çimmek, yıkanmak",Kendi vücudunu yıkamak
"wash, lave",cleanse (one's body) with soap and water,yıkamak,Su veya başka bir sıvı kullanarak bir şeyi temizlemek.
friend,a person you know well and regard with affection and trust,"arkadaş, yoldaş",Birbirlerine karşı sevgi ve anlayış gösteren kimselerden her biri.
"rush, hasten, hurry, look sharp, festinate",act or move at high speed,"acele etmek, acele ettirmek, hızlandırmak, eli çabuk tutmak, eli çabuk olmak",çabuk davranmak
"idol, graven image, god",a material effigy that is worshipped,"put, tanrı",Bazı ilkel toplumlarda doğaüstü güç ve etkisi olduğuna inanılan canlı veya cansız nesne; tapıncak.
tip,the extreme end of something; especially something pointed,uç,Bir uzaklığın son noktası
weight,the vertical force exerted by a mass as a result of gravity,ağırlık,"Yer çekiminin, bir cismin molekülleri üzerindeki etkisinin oluşturduğu bileşke; gravite."
hay,grass mowed and cured for use as fodder,saman,"Ekinlerin harmanda dövülüp taneleri ayrıldıktan sonra kalan, hayvanlara yedirilen ufalanmış sapları."
"join, bring together",cause to become joined or linked,"birleştirmek, bir araya getirmek, bağlamak",toplamak
"try, seek, attempt, essay, assay",make an effort or attempt,"denemek, teşebbüs etmek, çabalamak, peşinde koşmak, gayret etmek, uğraşmak, girişimde bulunmak, kalkışmak, test etmek, sınamak","Bir işe, başarmak amacıyla başlamak, girişimde bulunmak; teşebbüs etmek."
town,an urban area with a fixed boundary that is smaller than a city,"kasaba, belde","İlçeden küçük, köyden büyük, nüfusu iki bin ile yirmi bin arasında olan, belediye ile yönetilen, henüz kırsal özelliklerini yitirmemiş yerleşim merkezi."
"comb, comb out, disentangle",smoothen and neaten with or as with a comb,"taraklamak, taramak, açmak",Bir şeyin tellerini birbirinden ayırıp karışıklığını gidermek.
